"State Name","Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Kerala","GSDP (2004-05 Prices)","119264","131294","141667","154093","162659","177571","191867","210107"
"Kerala","Agriculture and Allied","20844","21882","20508","20255","20657","20333","19404","19203"
"Kerala","Agriculture","16981","18042","16568","16197","16534","16037","15308","15063"
"Kerala","Industry","27349","30058","32077","34576","34729","37446","40375","43219"
"Kerala","Mining & Quarrying","458","585","530","547","600","807","667","721"
"Kerala","Manufacturing","10221","10433","11179","13165","13441","13485","14619","15553"
"Kerala","Services","71071","79354","89082","99262","107274","119792","132087","147684"
"Madhya Pradesh","GSDP (2004-05 Prices)","112927","118919","129896","135986","152946","168058","180034","201290","221463"
"Madhya","Agriculture and Allied","31238","33439","34224","33715","36698","40288","40234","47199","53503"
"Madhya","Agriculture","27540","29737","30560","30020","32898","36302","36213","43056","49202"
"Madhya","Industry","30658","32099","37462","39686","47218","50586","55109","59130","61815"
"Madhya","Mining & Quarrying","5449","5497","5989","6658","7073","7333","7141","7254","7207"
"Madhya","Manufacturing","12557","13456","17263","18047","21329","22770","24393","25312","25838"
"Madhya","Services","51031","53382","58210","62585","69030","77183","84691","94961","106144"
"Maharashtra","GSDP (2004-05 Prices)","415480","470929","534654","594832","610191","666944","735212","787426","843565"
"Maharashtra","Agriculture and Allied","44927","49062","55945","63641","53808","54358","64007","66938","65504"
"Maharashtra","Agriculture","34423","38364","44587","51855","41549","43287","52556","54805","54044"
"Maharashtra","Industry","123022","146308","169451","189333","187322","200235","217804","229175","245147"
"Maharashtra","Mining & Quarrying","3491","3573","3665","3694","3571","3759","3727","3521","3455"
"Maharashtra","Manufacturing","85476","106775","126830","137868","131900","141191","152138","155939","163875"
"Maharashtra","Services","247531","275559","309258","341857","369062","412352","453401","491313","532914"
"Manipur","GSDP (2004-05 Prices)","5133","5718","6137","6783","7399","8254","9108","10410","11713"
"Manipur","Agriculture and Allied","1270","1383","1488","1612","1836","2209","2292","2581","2934"
"Manipur","Agriculture","963","1053","1140","1264","1446","1786","1840","2099","2419"
"Manipur","Industry","1882","2089","2229","2482","2452","2598","2826","3012","3217"
"Manipur","Manufacturing","227","247","294","355","362","390","442","492","549"
"Manipur","Services","1981","2246","2420","2689","3112","3447","3990","4817","5562"
"Meghalaya","GSDP (2004-05 Prices)","6559","7078","7626","7970","9001","9591","10427","11085","12072"
"Meghalaya","Agriculture and Allied","1525","1600","1621","1606","1673","1711","1737","1762","1802"
"Meghalaya","Agriculture","1088","1172","1194","1186","1252","1263","1282","1301","1331"
"Meghalaya","Industry","1715","1866","2107","2302","2710","2875","3068","3358","3791"
"Meghalaya","Mining & Quarrying","613","617","651","738","634","666","778","825","903"
"Meghalaya","Manufacturing","179","314","492","550","524","627","699","764","831"
"Meghalaya","Services","3320","3612","3897","4061","4619","5006","5622","5964","6479"
"Mizoram","GSDP (2004-05 Prices)","2682","2869","3006","3336","3781","4249","4557","5017"
"Mizoram","Agriculture and Allied","630","641","642","733","822","897","919","974"
"Mizoram","Agriculture","361","371","386","473","569","642","660","710"
"Mizoram","Industry","445","572","578","653","763","788","916","1010"
"Mizoram","Mining & Quarrying","8","6","10","14","20","12","8","5"
"Mizoram","Manufacturing","38","38","45","54","52","50","61","64"
"Mizoram","Services","1606","1657","1785","1950","2197","2563","2722","3032"
"Nagaland","GSDP (2004-05 Prices)","5839","6436","6938","7445","7917","8463","8925","9379","9871"
"Nagaland","Agriculture and Allied","2029","2081","2101","2114","2273","2339","2471","2587","2712"
"Nagaland","Agriculture","1602","1630","1637","1640","1738","1799","1907","2010","2118"
"Nagaland","Industry","752","880","1011","1112","1285","1381","1450","1569","1692"
"Nagaland","Mining & Quarrying","7","8","9","10","11","12","14","15","17"
"Nagaland","Manufacturing","98","119","135","153","132","211","230","244","260"
