"State","District","Level","Name","TRU","No of Households","Total Population Person","Total Population Male","Total Population Female","Population in the age group 0-6 Person","Population in the age group 0-6 Male","Population in the age group 0-6 Female","Scheduled Castes population Person","Scheduled Castes population Male","Scheduled Castes populationFemale","Scheduled Tribes population Person","Scheduled Tribes population Male","Scheduled Tribes population Female","Literates Population Person","Literates Population Male","Literates Population Female","Illiterate Persons","Illiterate Male","Illiterate Female","Total Worker Population Person","Total Worker Population Male","Total Worker Population Female","Main Working Population Person","Main Working Population Male","Main Working Population Female","Main Cultivator Population Person","Main Cultivator Population Male","Main Cultivator Population Female","Main Agricultural Labourers Population Person","Main Agricultural Labourers Population Male","Main Agricultural Labourers Population Female","Main Household Industries Population Person","Main Household Industries Population Male","Main Household Industries Population Female","Main Other Workers Population Person","Main Other Workers Population Male","Main Other Workers Population Female","Marginal Worker Population Person","Marginal Worker Population Male","Marginal Worker Population Female","Marginal Cultivator Population Person","Marginal Cultivator Population Male","Marginal Cultivator Population Female","Marginal Agriculture Labourers Population Person","Marginal Agriculture Labourers Population Male","Marginal Agriculture Labourers Population Female","Marginal Household Industries Population Person","Marginal Household Industries Population Male","Marginal Household Industries Population Female","Marginal Other Workers Population Person","Marginal Other Workers Population Male","Marginal Other Workers Population Female","Marginal Worker Population 3_6 Person","Marginal Worker Population 3_6 Male","Marginal Worker Population 3_6 Female","Marginal Cultivator Population 3_6 Person","Marginal Cultivator Population 3_6 Male","Marginal Cultivator Population 3_6 Female","Marginal Agriculture Labourers Population 3_6 Person","Marginal Agriculture Labourers Population 3_6 Male","Marginal Agriculture Labourers Population 3_6 Female","Marginal Household Industries Population 3_6 Person","Marginal Household Industries Population 3_6 Male","Marginal Household Industries Population 3-6 Female","Marginal Other Workers Population Person 3_6 Person","Marginal Other Workers Population Person 3_6 Male","Marginal Other Workers Population Person 3_6 Female","Marginal Worker Population 0_3 Person","Marginal Worker Population 0_3 Male","Marginal Worker Population 0_3_Female","Marginal Cultivator Population 0_3 Person","Marginal Cultivator Population 0_3 Male","Marginal Cultivator Population 0_3_Female","Marginal Agriculture Labourers Population 0_3 Person","Marginal Agriculture Labourers Population 0_3 Male","Marginal Agriculture Labourers Population 0_3 Female","Marginal Household Industries Population 0_3 Person","Marginal Household Industries Population 0_3 Male","Marginal Household Industries Population 0_3 Female","Marginal Other Workers Population 0_3 Person","Marginal Other Workers Population 0_3 Male","Marginal Other Workers Population 0_3 Female","Non Working Population Person","Non Working Population Male","Non Working Population Female"
"'26","'000","STATE","DADRA & NAGAR HAVELI","Total","76458","343709","193760","149949","50895","26431","24464","6186","3339","2847","178564","88844","89720","223230","142521","80709","120479","51239","69240","157161","119293","37868","130299","109125","21174","22707","16486","6221","6184","3119","3065","1566","1151","415","99842","88369","11473","26862","10168","16694","5457","1810","3647","11615","2334","9281","629","218","411","9161","5806","3355","22915","8364","14551","4742","1462","3280","9763","1845","7918","541","185","356","7869","4872","2997","3947","1804","2143","715","348","367","1852","489","1363","88","33","55","1292","934","358","186548","74467","112081"
"'26","'000","STATE","DADRA & NAGAR HAVELI","Rural","36094","183114","98305","84809","28504","14467","14037","1296","771","525","150944","75049","75895","99142","64050","35092","83972","34255","49717","84123","55803","28320","62211","48239","13972","21050","15098","5952","5456","2673","2783","977","694","283","34728","29774","4954","21912","7564","14348","5090","1662","3428","11113","2219","8894","379","111","268","5330","3572","1758","18506","6115","12391","4431","1333","3098","9310","1742","7568","314","86","228","4451","2954","1497","3406","1449","1957","659","329","330","1803","477","1326","65","25","40","879","618","261","98991","42502","56489"
"'26","'000","STATE","DADRA & NAGAR HAVELI","Urban","40364","160595","95455","65140","22391","11964","10427","4890","2568","2322","27620","13795","13825","124088","78471","45617","36507","16984","19523","73038","63490","9548","68088","60886","7202","1657","1388","269","728","446","282","589","457","132","65114","58595","6519","4950","2604","2346","367","148","219","502","115","387","250","107","143","3831","2234","1597","4409","2249","2160","311","129","182","453","103","350","227","99","128","3418","1918","1500","541","355","186","56","19","37","49","12","37","23","8","15","413","316","97","87557","31965","55592"
"'26","'496","DISTRICT","Dadra & Nagar Haveli","Total","76458","343709","193760","149949","50895","26431","24464","6186","3339","2847","178564","88844","89720","223230","142521","80709","120479","51239","69240","157161","119293","37868","130299","109125","21174","22707","16486","6221","6184","3119","3065","1566","1151","415","99842","88369","11473","26862","10168","16694","5457","1810","3647","11615","2334","9281","629","218","411","9161","5806","3355","22915","8364","14551","4742","1462","3280","9763","1845","7918","541","185","356","7869","4872","2997","3947","1804","2143","715","348","367","1852","489","1363","88","33","55","1292","934","358","186548","74467","112081"
"'26","'496","DISTRICT","Dadra & Nagar Haveli","Rural","36094","183114","98305","84809","28504","14467","14037","1296","771","525","150944","75049","75895","99142","64050","35092","83972","34255","49717","84123","55803","28320","62211","48239","13972","21050","15098","5952","5456","2673","2783","977","694","283","34728","29774","4954","21912","7564","14348","5090","1662","3428","11113","2219","8894","379","111","268","5330","3572","1758","18506","6115","12391","4431","1333","3098","9310","1742","7568","314","86","228","4451","2954","1497","3406","1449","1957","659","329","330","1803","477","1326","65","25","40","879","618","261","98991","42502","56489"
"'26","'496","DISTRICT","Dadra & Nagar Haveli","Urban","40364","160595","95455","65140","22391","11964","10427","4890","2568","2322","27620","13795","13825","124088","78471","45617","36507","16984","19523","73038","63490","9548","68088","60886","7202","1657","1388","269","728","446","282","589","457","132","65114","58595","6519","4950","2604","2346","367","148","219","502","115","387","250","107","143","3831","2234","1597","4409","2249","2160","311","129","182","453","103","350","227","99","128","3418","1918","1500","541","355","186","56","19","37","49","12","37","23","8","15","413","316","97","87557","31965","55592"
